text,label
"Your account has been compromised. Click here to reset your password.",1
"Meeting tomorrow at 3 PM. Agenda attached.",0
"Confirm your bank account details to avoid suspension.",1
"Hello! How are you? Just checking in.",0
"Congratulations! You've won a $1,000 gift card. Click here to claim your prize.",1
"Let’s meet for lunch tomorrow. Let me know your availability.",0
"Verify your email address to continue using our services. Failure to do so will result in account deactivation.",1
"Reminder: The project deadline is next Friday. Let’s discuss it during the team meeting.",0
"Suspicious login attempt detected on your account. Please verify immediately.",1
"Thank you for your order. Your package is on its way!",0
"Your PayPal account has been restricted. Log in to restore full access.",1
"Could you review the attached document and share your feedback?",0
"Urgent: Your credit card details need to be updated. Update now to avoid charges.",1
"Don't forget to RSVP for the event this weekend!",0
"Unusual activity detected in your account. Click here to secure your account.",1
"Just a quick note to say thank you for your support!",0
"Your Apple ID has been locked. Please confirm your account information.",1
"Here’s the agenda for our upcoming board meeting. Please let me know if you have any additions.",0
"Recover your lost password by clicking the link below.",1
"Happy Birthday! Hope you have a fantastic day!",0
"Claim your free trial today. Offer valid for 24 hours only!",1
"Looking forward to our catch-up call next week.",0
"Final reminder: Complete your payment to avoid account suspension.",1
"Please find the updated contract attached for your review.",0
"Action required: Your account will be permanently closed if not verified within 48 hours.",1
"Great job on the presentation today. Everyone loved it!",0
"Your bank statement is ready for viewing. Log in to download.",1
"Let’s plan for our annual team outing. Suggestions are welcome!",0
"Important security notice: Your account was accessed from a new device.",1
"Here’s the draft for the marketing proposal. Let me know your thoughts.",0
"Receive a free gift with every purchase. Offer expires soon!",1
"Can we reschedule our meeting to later this week?",0
"Your Netflix subscription will be canceled unless payment details are updated.",1
"Team outing confirmed for Saturday at 10 AM. Please be on time!",0
"Amazon Delivery: Your package cannot be delivered due to incorrect address. Update now.",1
"The event was amazing! Looking forward to the next one.",0
"Verify your phone number to unlock exclusive rewards.",1
"The minutes of the meeting are attached. Please review.",0
"Urgent: Your electricity bill is overdue. Pay now to avoid disconnection.",1
"Thanks for subscribing to our newsletter! Stay tuned for updates.",0
"Secure your account by confirming your personal details. Time-sensitive!",1
"Would you like to grab coffee this afternoon?",0
"Your Instagram account login was attempted from an unknown device.",1
"The budget report draft is ready for your approval.",0
"Act now! Limited-time offer for free access to premium features.",1
"Can you confirm the date for our annual general meeting?",0
"Security Alert: Unauthorized activity detected on your banking account.",1
"The new policy document is attached. Please review before the meeting.",0
"Complete your survey to receive a $50 reward.",1
"The quarterly sales report looks promising. Great job, team!",0
"Payment failed: Your order has been canceled. Update payment details.",1
"Don't forget to submit your travel expense claims by Friday.",0
"Critical system update required. Install now to avoid data loss.",1
"Thanks for attending the webinar! The recording is attached.",0
"Your Gmail storage is full. Upgrade your account to avoid disruptions.",1
"Meeting rescheduled to 2 PM tomorrow. Please confirm your availability.",0
"Exclusive offer: Buy one, get one free. Click to shop now!",1
"The client presentation has been finalized. Great work!",0
